"","lat","lon","river","ppt","pet","deficit","surplus","discharge","basinarea","runoff","aet","cropcoef","MI.aet","MI.pet"
"1",38.2820866501165,-83.5515951112954,"Ohio",1159.38338159419,766.012029088502,44.4045335435006,437.775885949728,8000,490600,514.243783122707,645.139598471487,0.842205571156834,1.79710466438751,1.51353156029909
"2",60.9631060341352,-121.44488287008,"Mackenzie",414.506063417344,350.604940359208,95.1790868166553,159.080209927702,10338,1783912,182.755185233352,231.750878183992,0.661002888169671,1.78858465031688,1.1822596195954
"3",63.9725368330217,-147.689948929825,"Yukon",359.705473774519,313.842216097927,102.717459499599,148.580717212274,6576,833232,248.887147877182,110.818325897338,0.353102037307688,3.24590243411322,1.14613476238736
"4",43.4075460813913,-84.0694041535385,"Saginaw",749.470656054495,614.200665174857,109.878035543468,245.148027920394,136.7,22260,193.664474393531,555.806181660964,0.904926049701902,1.34843886373265,1.22023745422211
"5",44.6455100073119,-88.7416914238351,"Fox",780.877811682381,588.543352538604,44.943994697442,237.278451815779,117,16650,221.604324324324,559.273487358057,0.950267274187541,1.39623606220126,1.32679743695034
"6",43.8640537468271,-103.671638557055,"Cheyenne",388.693086916462,720.765282374362,345.360073513146,13.2878776171325,24.7,62800,12.4034904458599,376.289596470602,0.522069535911913,1.03296261858472,0.539278314898881
"7",32.8621320505163,-103.487833839157,"Pecos",359.833228525532,1095.0319140882,737.904309361737,2.70562420046069,7.5,115000,2.05669565217391,357.776532873358,0.326727037148745,1.0057485482227,0.328605243277456
"8",35.3320331918533,-110.005852506657,"Little Colorado",306.190537886505,887.681668416791,604.878803202241,23.3876721093587,11.5,69000,5.256,300.934537886505,0.339011774821521,1.01746559247374,0.344932816324354
"9",41.7159963481562,-122.320871096505,"Klamath",822.164452350637,716.407278729763,431.555571310345,537.312744122589,475,40630,368.683238985971,453.481213364667,0.632993587347017,1.81300664309878,1.14762157889907
"10",44.6368538769195,-122.709582399892,"Willamette",1593.70613086041,636.157840738846,223.000118148699,1180.54840336421,935,29730,991.798183652876,601.907947207532,0.946161327680037,2.64775724968275,2.50520551473428
"11",44.9738685063056,-114.92621871445,"Salmon",466.893929770766,543.694742030129,262.434923029683,185.63411105958,310,36000,271.56,195.333929770766,0.359271323907602,2.3902346628601,0.858742771775588
"12",40.3002335735184,-116.84950604084,"Humboldt",291.160429164501,790.562230143942,555.237885396121,55.8360839771235,11,43200,8.03,283.130429164501,0.358138067275171,1.02836148704926,0.368295395432043
"13",44.3079360023564,-108.591759980973,"Big Horn",328.251200678532,635.195692753625,363.919697961823,56.9752059897375,112,59270,59.5922389066982,268.658961771834,0.422954634039119,1.22181370207672,0.51677176722584
"14",42.3176193220346,-93.7654110400318,"Des Moines",808.889032986599,674.642397948382,31.4222177572504,165.668852419555,374.433662486016,38340,307.984871678639,500.904161307961,0.742473587238562,1.61485788194378,1.19898932448727
"15",42.4834558565981,-92.3064767352709,"Iowa",845.900415486753,652.302467461845,9.79884731085438,203.396796385525,399.522388566528,32711.865446,385.161099009554,460.739316477199,0.706327722888997,1.83596316883588,1.29679168435191
"16",44.7931755248135,-95.2247120425614,"Minnesota",653.849834239613,622.712370494496,76.9473844762282,108.084845884843,236.6,44000,169.577672727273,484.27216151234,0.777681935446023,1.35017018570239,1.05000296319855
"17",37.8570173948343,-83.9270327751631,"Kentucky",1171.14183883667,787.574731172834,35.4178076597197,418.984909221104,252.7,18140,439.313517089305,731.828321747364,0.929217625681751,1.60029586726074,1.48702312616434
"18",37.9610938092658,-94.0394591958038,"Osage",1021.496252716,821.210127467368,74.8735386885505,275.15966389974,308.1,40000,242.90604,778.590212716002,0.948101084818807,1.31198188216707,1.24389144574522
"19",39.0834712412687,-89.1823539736468,"Kaskaskia",991.674114801332,776.843360339056,89.8646488087918,304.695403661901,420,14880,890.129032258065,101.545082543267,0.13071500347116,9.76585069374277,1.27654320733141
"20",33.5911826091428,-82.1702782231301,"Savannah",1307.59621749024,958.362025388693,59.8176959126973,409.051887999557,332,25500,410.586352941176,897.009864549063,0.93598227056759,1.45772780118487,1.36440737722251
"21",40.2621491881729,-81.8415836212009,"Muskingum",970.061711880644,693.592659350493,38.819410509755,315.288462185588,267.863,20850,405.147605179856,564.914106700788,0.814475325084604,1.71718443631369,1.39860435199681
"22",39.870750188394,-84.4687968437216,"Great Miami",974.198550586722,709.465580096064,68.4488845282116,333.181850078596,152,13920,344.358620689655,629.839929897067,0.887766718452761,1.54673990063782,1.37314420588919
"23",41.188615420882,-79.1093102743227,"Allegheny",1085.32628149311,626.481812975119,6.28576379868536,465.130231377438,559,30000,587.6208,497.705481493108,0.794445219613861,2.18065969102279,1.73241466713769
"24",36.5817158263699,-78.5955203506649,"Roanoke",1102.87945425299,849.442418351958,55.1770934457516,308.614130005655,220.9,25100,277.541928286853,825.337525966139,0.971622688171629,1.3362768801309,1.29835693441439
"25",37.4891053533856,-80.8815419012387,"Kanawha",1118.83421364333,722.721006569288,23.7303707119721,419.84357887585,432,31690,429.900662669612,688.933550973718,0.953249656107332,1.62400889325538,1.54808591901094
"26",58.7906961430943,-105.338743094378,"Fond-du-Lac",438.512656460028,343.657604861793,71.5484025527416,166.40345415033,300,66800,141.62874251497,296.883913945058,0.863894497735484,1.47705091405249,1.27601615752511
"27",53.8252694714955,-102.533343974894,"Saskatchewan",462.799601877152,440.470554203553,96.2543632603651,118.583410767649,634,335900,59.5231437927955,403.276458084356,0.915558268846256,1.147598855821,1.05069362176542
"28",66.023285528295,-113.782969545975,"Coppermine",236.965841231963,244.847527017202,105.995452880859,98.1137667177603,337.69,50700,210.047176331361,26.9186649006019,0.109940521877155,8.80303098637942,0.967809820743316
"29",53.5640519532661,-74.3373770901203,"La Grande Rivière",743.825469164991,323.486211092873,5.46928872996539,425.808547366862,3400,97600,1098.59016393443,-354.764694769435,-1.09669186074699,-2.09667275276197,2.29940394260403
"30",36.4273032419639,-85.564010298802,"Cumberland",1317.96856577945,830.912196793502,43.7988083739277,530.8551758612,1055,45920,724.531358885017,593.437206894428,0.714199658140184,2.22090652636465,1.58617068189094
"31",32.2081900444215,-84.5013389502595,"Apalachicola",1361.14028594477,1006.64044697924,77.3214398903977,431.821278306381,555.1,50505,346.611891891892,1014.52839405288,1.00783591310811,1.34164829089429,1.35216133032338
"32",45.4342670785705,-69.0534768820985,"Penobscot",1052.38407822259,517.101946569535,11.9307416804817,547.212873512339,342,22300,483.646278026906,568.73780019568,1.09985623525245,1.85038532318496,2.03515783532459
"33",43.2881124210969,-72.1406527924752,"Connecticut",1098.82847052049,569.603274659808,18.2874428421812,547.512637887309,520,29200,561.6,537.228470520488,0.943162538595559,2.04536529766544,1.9291119265014
"34",44.5819359183578,-90.0291398733423,"Wisconsin",803.630709541289,585.780508365869,30.9322547027184,248.78245493782,340,31800,337.177358490566,466.453351050723,0.796293738676918,1.72285333084444,1.3718973200101
"35",39.5732420024916,-86.6573194397387,"Wabash",994.776328977175,731.78377875965,64.8148574003263,327.80740704429,1001,86000,367.064372093023,627.711956884152,0.857783371405286,1.58476562070773,1.35938559701786
"36",69.1269929393177,-155.144840834434,"Colville River",228.832523241754,233.237679958217,98.9170758244973,94.5119190858423,288.6,53000,171.722445283019,57.1100779587348,0.244857854738418,4.00686763914239,0.981113014341197
"37",58.2860565332511,-122.273388408918,"Fort Nelson",524.756464795151,387.166959981449,44.8065397517825,182.396044579267,331.9,55900,187.241474060823,337.514990734328,0.871755665179951,1.55476491178494,1.35537511987152
